"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","SunD1h","VisKm","SnowDepcm","PreselevHp"
3590,2025-03-31,9.2,15.8,3,2.7,66.8,"NW",20.2,53.7,1022.9,0,1.5,4.5,"9.6",29.2,NA,NA
3590,2025-03-30,9.6,13.6,2.9,3,64.6,"WSW",21.5,50,1018.5,0,3.6,6.2,"10.1",47.5,NA,NA
3590,2025-03-29,8.3,14.3,2.9,1.8,66.2,"WNW",19.1,40.8,1013.7,0,3.1,6.2,"3.9",49.4,NA,NA
3590,2025-03-28,10,16.4,2.6,6.3,78.4,"SW",18.7,38.9,1016.4,0,1.3,8,"11.4",19.9,NA,NA
3590,2025-03-27,8.3,15.2,2.6,4.4,77.8,"SSW",11,35.2,1024.5,0,0.9,3,"10.9",40.5,NA,NA
3590,2025-03-26,8.6,12.9,1.2,6.8,88.1,"NW",10.3,29.7,1022.9,0,6.4,7.7,"4.1",11.5,NA,NA
3590,2025-03-25,6.5,12.7,1.2,3.1,81.5,"WNW",12.4,31.5,1019.3,0.2,2.1,6.4,"6.4",6.7,NA,NA
3590,2025-03-24,9,13.9,5.2,6.9,86.9,"NNW",16.6,35.2,1007.3,1,7.3,7.3,"0.1",4.3,NA,NA
3590,2025-03-23,10.8,16.1,5.2,7.8,82.8,"ESE",10.8,31.5,1000.4,0.2,6.7,7,"3.1",16.5,NA,NA
3590,2025-03-22,12,14.9,7.3,6.8,70.7,"ESE",16.6,40.8,1005.5,0.2,4.2,7.3,"5.1",18.5,NA,NA
3590,2025-03-21,11.4,17.9,6.9,4.5,63.8,"ESE",12.2,25.9,1018,0,1,8,"8.9",20.3,NA,NA
3590,2025-03-20,9.3,14.6,2.1,3.7,68.2,"SSE",10.5,25.9,1021.2,0.4,3.6,6.6,"10.6",20.5,"2",NA
3590,2025-03-19,5,9.1,-0.6,-1.6,64.4,"E",15.2,42.6,1024.1,0,0,NA,"11.3",34.9,NA,NA
3590,2025-03-18,3.9,8.3,-0.6,0,76.6,"ENE",14.1,40.8,1028.8,0,3.2,6.5,"1.6",27.1,NA,NA
3590,2025-03-17,4.8,8.1,-3.4,1.4,78.1,"NE",15,31.5,1026.5,0.2,7,7.7,"3.2",50.5,NA,NA
3590,2025-03-16,1.7,7.2,-3.4,-2.9,73.5,"NE",16.1,38.9,1023.5,0,2.5,3.8,"6.9",47,NA,NA
3590,2025-03-15,2.9,7.8,-1.9,-1,77,"NNE",10.7,27.8,1015.1,0,3.7,5.2,"4.8",44.3,NA,NA
3590,2025-03-14,2.7,7.9,-1.9,0.3,84.5,"N",11.9,31.5,1004.9,0.2,5.5,6.7,"4.2",47.4,NA,NA
3590,2025-03-13,3.3,8.4,-1.1,0.3,82.2,"NNW",16.1,37.1,1002,1,6.5,6.5,"3.1",44.6,NA,NA
3590,2025-03-12,4.2,8.6,-1.1,0.5,77.2,"NNW",17.1,42.6,1006.1,0,5.8,6.3,"6.0",42.2,NA,NA
3590,2025-03-11,8,13.4,2.2,4.2,77.8,"NNE",18.8,44.5,1005.5,0,7.6,7.6,"0.1",7.7,NA,NA
3590,2025-03-10,9.7,17.3,3.3,2.8,65.9,"E",14.5,33.4,1003.2,0,1.4,6.8,"8.6",7.8,NA,NA
